发布日期,发布部门,通知标题,通知链接,附件名,附件链接,下载次数
2021-12-31,【综合科】,关于启用火车票自助取票机的通知,https://jwch.fzu.edu.cn/info/1035/11816.htm,无附件,无附件链接,无下载次数
2021-12-31,【计划科】,关于核对2021-2022学年第二学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/info/1038/11792.htm,无附件,无附件链接,无下载次数
2021-12-29,【教学运行】,关于2022年元旦放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/11789.htm,无附件,无附件链接,无下载次数
2021-12-29,【教学运行】,关于2021-2022学年第一学期《高等数学A（上）》《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11788.htm,2101 高数C、D期末考试 1.10下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716956,1091
2021-12-29,【教学运行】,关于2021-2022学年第一学期《高等数学A（上）》《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11788.htm,2101 高数A、B期末考试 1.10下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716955,1196
2021-12-29,【教学运行】,关于2021-2022学年第一学期《大学英语（一）》《大学英语（二）》、《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11787.htm,2101大学英语一、二、三期末考试 1.10上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716953,1058
2021-12-29,【教学运行】,关于2021-2022学年第一学期《工程制图A》、《工程制图C》、《工程制图D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11786.htm,2101 制图A、C、D期末考试 1.9下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716952,958
2021-12-29,【教学运行】,关于2021-2022学年第一学期《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11785.htm,2101英语四课期末考试 1.9上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716951,903
2021-12-29,【教学运行】,关于2021-2022学年第一学期《大学物理A(下）》、《大学物理B(下）》课期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11784.htm,2101大物课期末考试 1.8下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716950,948
2021-12-29,【教学运行】,关于2021-2022学年第一学期《概率论与数理统计》课期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11783.htm,2101概率课期末考试 1.8上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7716949,894
2021-12-28,【综合科】,关于召开2021-2022学年秋季学期期末本科教学工作会议的通知,https://jwch.fzu.edu.cn/info/1035/11782.htm,无附件,无附件链接,无下载次数
2021-12-20,【教学运行】,关于2021-2022学年第二学期学生学期选课的通知,https://jwch.fzu.edu.cn/info/1036/11767.htm,无附件,无附件链接,无下载次数
2021-12-20,【教学运行】,关于2021-2022学年第一学期《线性代数》《线性代数与解析几何》课期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11765.htm,2101线性代数、线代与解几期末考试 1.2下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7714484,1245
2021-12-20,【教学运行】,关于2021-2022学年第一学期计算机语言类课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/11764.htm,2101计算机语言课程期末考试 1.2上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7714483,1067
2021-12-15,【实践科】,关于转发福建省教育厅《关于印发<福建省本科毕业论文（设计）抽检实施细则（试行）>的通知》的通知,https://jwch.fzu.edu.cn/info/1039/11763.htm,闽教高〔2021〕45号__福建省教育厅关于印发《福建省本科毕业论文（设计）抽检实施细则（试行）》的通知.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7713347,1262
2021-12-15,【质量办】,关于做好本科专业课教师信息核对工作的通知,https://jwch.fzu.edu.cn/info/1040/11762.htm,附件.rar,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7710212,1032
2021-12-14,【质量办】,关于召开2020—2021学年本科教育质量监测数据及本科高校专业课教师信息梳理核对会议的紧急通知,https://jwch.fzu.edu.cn/info/1040/11751.htm,无附件,无附件链接,无下载次数
2021-12-13,【教学运行】,福州大学关于印发课程安排管理办法的通知,https://jwch.fzu.edu.cn/info/1036/11741.htm,无附件,无附件链接,无下载次数
2021-12-10,【教材中心】,关于开展26种马工程重点教材任课教师培训的通知,https://jwch.fzu.edu.cn/info/1042/11731.htm,附件1：关于开展26种马工程重点教材任课教师培训的通知1.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7693723,1106
