date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,temperature_2m_mean
2024-09-12 00:00:00+00:00,32.596,25.646,4.0999994,39169.543,28.739746
2024-09-13 00:00:00+00:00,31.396,24.396,1.2,38830.38,27.714746
2024-09-14 00:00:00+00:00,29.046,24.896,34.299995,4353.2754,26.616835
2024-09-15 00:00:00+00:00,28.845999,25.496,19.099998,29862.934,26.743912
2024-09-16 00:00:00+00:00,31.896,26.595999,2.5999997,29518.15,28.675163
2024-09-17 00:00:00+00:00,32.046,24.845999,2.7,38863.36,28.177248
2024-09-18 00:00:00+00:00,31.996,25.796,2.3,34405.43,28.000166
2024-09-19 00:00:00+00:00,31.595999,25.696,6.9,32949.36,28.306414
2024-09-20 00:00:00+00:00,32.346,25.796,3.1999996,37614.44,28.679335
2024-09-21 00:00:00+00:00,33.596,25.296,47.79999,36000.0,28.512665
2024-09-22 00:00:00+00:00,26.296,22.496,69.00001,0.0,24.300165
2024-09-23 00:00:00+00:00,23.246,22.646,54.699997,0.0,22.92933
2024-09-24 00:00:00+00:00,27.046,23.396,27.4,845.9259,25.25225
2024-09-25 00:00:00+00:00,29.095999,24.146,26.300003,16470.83,25.993912
2024-09-26 00:00:00+00:00,28.746,24.595999,8.099999,19145.945,26.039747
2024-09-27 00:00:00+00:00,29.345999,23.646,10.300001,28967.682,25.875166
2024-09-28 00:00:00+00:00,29.496,22.546,1.0,33309.965,25.600166
2024-09-29 00:00:00+00:00,29.196,24.996,1.3000002,29262.168,26.564745
2024-09-30 00:00:00+00:00,30.496,24.996,5.8999996,34726.22,27.104332
2024-10-01 00:00:00+00:00,29.396,21.396,10.6,24852.85,25.531412
2024-10-02 00:00:00+00:00,23.146,19.345999,3.6,315.20142,21.198084
2024-10-03 00:00:00+00:00,24.046,19.696,1.5,14400.0,21.30433
2024-10-04 00:00:00+00:00,24.845999,20.496,22.400002,7833.007,21.416832
2024-10-05 00:00:00+00:00,26.546,21.396,1.7000002,14400.0,23.987665
2024-10-06 00:00:00+00:00,29.446,23.746,14.100001,31367.969,25.677248
2024-10-07 00:00:00+00:00,27.446,22.396,23.199999,25478.566,24.750166
2024-10-08 00:00:00+00:00,24.595999,21.345999,0.3,0.0,22.864752
2024-10-09 00:00:00+00:00,25.246,19.996,1.7,24941.977,22.029333
2024-10-10 00:00:00+00:00,24.796,16.546,0.0,28991.445,20.598083
2024-10-11 00:00:00+00:00,25.146,17.546,0.0,37276.273,20.78975
2024-10-12 00:00:00+00:00,25.946,21.095999,0.4,25666.598,23.218912
2024-10-13 00:00:00+00:00,27.796,21.496,1.9000001,36580.324,24.443916
2024-10-14 00:00:00+00:00,29.246,21.696,0.6,36000.0,24.900164
2024-10-15 00:00:00+00:00,28.746,22.446,2.2,34686.67,25.048079
2024-10-16 00:00:00+00:00,28.646,20.446,0.0,36000.0,24.410578
2024-10-17 00:00:00+00:00,29.196,22.196,0.4,30824.01,25.07725
2024-10-18 00:00:00+00:00,30.595999,23.146,0.0,32465.68,26.114746
2024-10-19 00:00:00+00:00,31.296,22.246,0.3,33461.64,25.529327
2024-10-20 00:00:00+00:00,27.046,18.946,0.0,33368.71,22.31058
2024-10-21 00:00:00+00:00,29.696,20.496,0.1,36848.86,24.443916
2024-10-22 00:00:00+00:00,28.296,19.996,0.90000004,36731.008,24.323082
2024-10-23 00:00:00+00:00,26.595999,17.046,0.0,36965.824,20.858496
2024-10-24 00:00:00+00:00,23.796,18.896,0.0,35130.316,21.631416
2024-10-25 00:00:00+00:00,25.595999,21.646,0.5,0.0,23.773079
2024-10-26 00:00:00+00:00,25.146,22.595999,5.5000005,94.51229,23.443914
2024-10-27 00:00:00+00:00,28.845999,21.196,1.4000002,31672.488,24.862663
2024-10-28 00:00:00+00:00,24.946,18.046,0.2,19224.24,21.62725
2024-10-29 00:00:00+00:00,25.446,17.696,0.0,36837.87,20.954334
2024-10-30 00:00:00+00:00,25.746,19.246,0.0,32400.0,22.95225
2024-10-31 00:00:00+00:00,26.095999,20.146,29.199999,1947.3582,23.400164
2024-11-01 00:00:00+00:00,22.796,18.196,16.400002,410.89142,20.662666
2024-11-02 00:00:00+00:00,26.396,18.896,0.0,35932.027,21.995996
2024-11-03 00:00:00+00:00,24.746,16.446,0.0,35785.17,20.410583
2024-11-04 00:00:00+00:00,26.496,17.746,0.0,32617.229,22.195997
2024-11-05 00:00:00+00:00,24.345999,15.496,0.0,36018.484,20.177248
2024-11-06 00:00:00+00:00,20.246,12.996,0.0,35664.008,16.27725
2024-11-07 00:00:00+00:00,21.546,13.796,0.0,32978.73,17.070995
2024-11-08 00:00:00+00:00,23.296,15.996,0.0,29798.16,19.98975
2024-11-09 00:00:00+00:00,24.746,17.896,0.0,4513.4663,21.246
2024-11-10 00:00:00+00:00,26.796,18.296,0.0,35527.812,22.360586
2024-11-11 00:00:00+00:00,25.746,18.296,0.0,35496.926,21.391832
2024-11-12 00:00:00+00:00,23.996,19.996,0.2,2968.9841,21.698082
2024-11-13 00:00:00+00:00,22.696,20.446,1.7000002,0.0,21.237665
2024-11-14 00:00:00+00:00,26.646,22.296,7.7,962.35754,24.22516
2024-11-15 00:00:00+00:00,28.396,21.246,11.0,15439.492,24.30433
2024-11-16 00:00:00+00:00,29.246,19.345999,0.0,35103.996,23.59183
2024-11-17 00:00:00+00:00,27.296,16.996,0.0,35338.375,21.618917
2024-11-18 00:00:00+00:00,20.746,15.445999,0.3,28400.49,17.550165
2024-11-19 00:00:00+00:00,20.046,15.596001,10.9,8372.986,17.38975
2024-11-20 00:00:00+00:00,19.746,16.546,16.7,2152.733,17.493916
2024-11-21 00:00:00+00:00,17.595999,12.796,3.9999998,4317.3257,15.564748
2024-11-22 00:00:00+00:00,20.146,13.096001,0.0,35244.234,16.029333
2024-11-23 00:00:00+00:00,20.046,13.996,0.0,12128.431,16.687666
2024-11-24 00:00:00+00:00,21.046,15.246,11.2,24781.898,17.560583
2024-11-25 00:00:00+00:00,19.446,15.195999,12.700001,1625.2081,17.40225
2024-11-26 00:00:00+00:00,21.296,11.646,0.0,31596.475,16.204334
2024-11-27 00:00:00+00:00,19.196,9.346001,0.0,35188.633,14.156415
2024-11-28 00:00:00+00:00,17.946,7.446,0.0,35182.504,12.468918
2024-11-29 00:00:00+00:00,18.095999,8.096001,0.0,35178.26,12.398086
2024-11-30 00:00:00+00:00,17.845999,9.996,0.0,25997.754,13.508499
2024-12-01 00:00:00+00:00,21.646,11.146,0.0,35175.367,15.473086
2024-12-02 00:00:00+00:00,23.396,13.896,0.0,35176.62,18.027246
2024-12-03 00:00:00+00:00,21.896,14.796,0.70000005,27065.783,18.060583
2024-12-04 00:00:00+00:00,19.246,12.796,0.1,447.5893,16.193914
2024-12-05 00:00:00+00:00,21.496,13.945999,0.0,29031.14,17.025164
2024-12-06 00:00:00+00:00,19.746,13.296,0.5,21310.09,16.573082
2024-12-07 00:00:00+00:00,18.396,10.996,0.0,0.0,15.0980835
2024-12-08 00:00:00+00:00,14.396,9.546,0.0,4374.591,12.291833
2024-12-09 00:00:00+00:00,17.246,10.695999,0.0,28581.305,14.112666
