科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教学运行】,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,2025-03-24,https://jwch.fzu.edu.cn/info/1036/13947.htm,['2402概率论半期考-4.13下午.xlsx'],['427'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15767966']
【质量办】,关于举办第六十五场“教学有道”研讨活动的通知,2025-03-20,https://jwch.fzu.edu.cn/info/1040/13945.htm,,,
【实践科】,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,2025-03-19,https://jwch.fzu.edu.cn/info/1039/13935.htm,['附件：福州大学第十六届企业经营模拟沙盘对抗赛报名表.doc'],['825'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15766807']
【实践科】,关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,2025-05-09,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045,,,
【质量办】,关于开展2025年度教师本科教学综合测评工作的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1040/14044.htm,['附件1-7.docx'],['531'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783740']
【教学通知】,关于开展2025年度教师本科教学综合测评工作的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1012/14043.htm,['关于开展2025年度教师本科教学综合测评工作的通知.doc'],['538'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783736']
【教研教改】,福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,2025-05-09,https://jwch.fzu.edu.cn/info/1037/14042.htm,,,
【计划科】,2024-2025学年第二学期在校学生申请辅修专业的通知,2025-05-06,https://jwch.fzu.edu.cn/info/1038/14038.htm,,,
【质量办】,关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,2025-05-06,https://jwch.fzu.edu.cn/info/1040/14037.htm,,,
【实践科】,关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,2025-04-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034,['附件3：福州大学第二十五届数学竞赛大纲.docx'],['1645'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15782623']
【实践科】,关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,2025-04-30,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033,['附件：福州大学2025年（总第三十一期）本科生科研训练计划立项项目汇总表.docx'],['3244'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15782627']
【质量办】,关于期中党政领导集中听课的通知,2025-04-27,https://jwch.fzu.edu.cn/info/1040/14032.htm,"['附件1：福州大学课堂教学质量评估表.doc', '附件2：第10-12周课表.xlsx']","['195', '443']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781690', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781691']"
【实践科】,福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,2025-04-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020,,,
【实践科】,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,2025-04-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018,"['附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx', '附件2：2025届福州大学本科毕业设计（论文）抽检情况汇总表.xls']","['1891', '2435']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781146', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781147']"
【质量办】,关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,2025-04-24,https://jwch.fzu.edu.cn/info/1040/14017.htm,,,
【教学运行】,关于2025年劳动节放假课程调整的通知,2025-04-24,https://jwch.fzu.edu.cn/info/1036/14016.htm,,,
