通知人,附件名,下载次数
实践科,福州大学本科生创新创业实践与素质拓展学分申报汇总表、申请表.doc,2662
计划科,2023-2024学年第二学期国情课列表.docx,1140
实践科,2023年学院教学有关数据统计表格下载.zip,1006
计划科,超星尔雅使用手册（学生版）.pdf,2620
计划科,24春夏智慧树学生手册更新（可导学用）最新E(2).pptx,747
计划科,慕课堂学生操作手册.pdf,2555
质量办,附件1：福州大学课堂教学质量评估表.doc,633
质量办,附件2：2023-2024学年第二学期第一周课表.xlsx,683
质量办,附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,566
实践科,附件1：实验教学和教学实验室建设研究项目申报书.docx,966
实践科,附件2：实验教学和教学实验室建设研究项目推荐汇总表（福建省）.xls,859
实践科,附件3：教高司函〔2024〕1号教育部高等教育司关于开展实验教学和教学实验室建设研究工作的通知（3月29日前）.pdf,1020
教学运行,2024大物实验（上）绪论排课.xlsx,1156
教材中心,福建省教育厅关于开展福建省“十四五”普通高等教育本科规划教材建设工作的通知.pdf,1067
教材中心,附件1.福建省普通高等教育“十四五”规划教材建设立项申报书.docx,973
教材中心,附件2.福建省普通高等学校“十四五”规划教材建设项目申报汇总表.docx,788
教材中心,单位审核意见书（参考模板）.docx,905
实践科,附录：2024年2月美国大学生数学建模竞赛介绍及参赛流程.pdf,5350
教学运行,2301高等数学C（上）、D期末考试 1.19下午.xlsx,1021
教学运行,2301高等数学A（上）、B（上）期末考试 1.19上午.xlsx,1142
教学运行,2301大学物理A（下）期末考试 1.18上午.xlsx,844
教学运行,2301大学英语（二）期末考试 1.15上午、下午.xlsx,989
教学运行,2301大学英语（一）、（三）期末考试 1.14上午.xlsx,732
教学运行,2301制图A(上）、C（上）、D、F期末考试 1.13上午.xlsx,768
实践科,附件：福州大学大学生校外实践教学基地检查评估结果汇总表.xlsx,1250
教研教改,第二批福建省新工科教育联盟新工科教育优秀教学案例征集、实践平台共建共享工作附件3——附件6.rar,820
教研教改,福建省新工科教育联盟关于开展第二批新工科教育优秀教学案例征集、实践平台共建共享工作的通知（含章）.pdf,1137
教研教改,福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知20231127.docx,1090
教研教改,福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知（含章）.pdf,1416
教学运行,2301英语四期末考试 1.7下午.xlsx,959
教学运行,2301线代期末考试 1.7上午.xlsx,841
教学运行,2301 计算机语言期末考试 1.6上午.xlsx,732
实践科,附件.zip,2410
教学运行,2301思法随堂考.xlsx,1400
教学运行,2301 近现代史纲要期末考 .xlsx,1202
质量办,2023年福州大学新上岗教师教学达标培训班名单（配导师）.xlsx,1530
