Title,Holder,Date,附件,附件名,下载次数
关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,实践科,2024/4/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613665,2302 近现代 期末考试.xlsx,562
,,,,,
关于开展2024届本科毕业设计（论文）抽检送审工作的通知,实践科,2024/4/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613663,2302 线性代数期末考 6.2下午.xlsx,400
,,,,,
关于举办福州大学第五十一场“教学有道”  研讨活动的通知,质量办,2024/4/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613260,附件：福州大学本科生创新创业实践与素质拓展学分认定汇总表.doc,1829
,,,,,
关于2024年五一劳动节放假课程调整的通知,教学运行,2024/4/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613251,附件2：案例撰写格式.docx,321
,,,,,
关于举办福州大学第五十场“教学有道”  研讨活动的通知,质量办,2024/4/24,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014,附件1：福州大学第八届远志创业实验班招生简章.docx,974
,,,,,
关于2023-2024-02学期体育理论课安排的通知,教学运行,2024/4/24,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611555,2302习概论期末考试.xlsx,484
,,,,,
关于举办2024年福州大学第二十四届数学竞赛的通知,实践科,2024/4/23,0,0,0
,,,,,
福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,实践科,2024/4/22,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611191,2302计算机语言课期末考试6.1.xlsx,590
,,,,,
关于举办福州大学第六届大学生机器人竞赛的通知,实践科,2024/4/19,0,0,0
,,,,,
关于举办福州大学第十八届数学建模竞赛的通知,实践科,2024/4/19,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14608195,国创省创结题附件.zip,906
,,,,,
关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,实践科,2024/4/17,0,0,0
,,,,,
关于举办福州大学第四十九场“教学有道”研讨活动的通知,质量办,2024/4/17,0,0,0
,,,,,
关于第61届中国高等教育博览会的参会指南,综合科,2024/4/12,0,0,0
,,,,,
关于召开2024版本科人才培养方案修订工作专题会议的通知,计划科,2024/4/11,0,0,0
,,,,,
关于对2024届本科毕业设计（论文）进行查重检测的通知,实践科,2024/4/10,0,0,0
,,,,,
关于2024届预计毕业生补拍电子注册学历照片的通知,教学运行,2024/4/10,0,0,0
,,,,,
关于开展2023年新上岗教师课堂授课达标考核的通知,质量办,2024/4/8,0,0,0
,,,,,
关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,教学运行,2024/4/7,0,0,0
,,,,,
关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,教学运行,2024/4/7,0,0,0
,,,,,
关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,教学运行,2024/4/3,0,0,0
,,,,,
关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,教学运行,2024/4/3,0,0,0
,,,,,
关于组织教师参加第61届中国高等教育博览会的通知,综合科,2024/4/2,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620223,附件1：福州大学教材管理实施细则（试行）.pdf,280
,,,,,
关于2024年清明节放假课程调整的通知,教学运行,2024/4/1,0,0,0
,,,,,
关于举办福州大学第十五届企业经营模拟沙盘对抗赛的通知,实践科,2024/3/27,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604454,2302 工程制图E期末考试 5.12上午.xlsx,459
,,,,,
关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,实践科,2024/3/27,0,0,0
,,,,,
关于举办福州大学第四届大学生先进成图技术与产品信息建模创新大赛的通知,实践科,2024/3/27,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,2164
,,,,,
关于举办福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛的通知,实践科,2024/3/22,0,0,0
,,,,,
关于举办福州大学第八届网络信息安全竞赛的通知,实践科,2024/3/21,0,0,0
,,,,,
关于做好2024-2025学年第一学期排课准备工作的通知,教学运行,2024/3/18,0,0,0
,,,,,
关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,综合科,2024/3/14,0,0,0
,,,,,
