通知人,标题,日期,链接,是否存在附件,附件下载次数
实践科,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,"
2025-04-15
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995,True,241
实践科,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,"
2025-04-14
         ",https://jwch.fzu.edu.cn/info/1039/13993.htm,True,349
教材中心,2025年福建省高校教材联合巡展 （福州大学）活动通知,"
2025-04-11
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991,False,
教学运行,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,"
2025-04-11
         ",https://jwch.fzu.edu.cn/info/1036/13989.htm,True,268
教学运行,关于2025届预计毕业生补拍电子注册学历照片的通知,"
2025-04-10
         ",https://jwch.fzu.edu.cn/info/1036/13988.htm,True,1815
教研教改,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,"
2025-04-09
         ",https://jwch.fzu.edu.cn/info/1037/13986.htm,False,
质量办,关于开展2025年春季学期本科实验教学专项检查的通知,"
2025-04-08
         ",https://jwch.fzu.edu.cn/info/1040/13983.htm,True,345
质量办,关于开展2024年新上岗教师课堂授课达标考核的通知,"
2025-04-07
         ",https://jwch.fzu.edu.cn/info/1040/13982.htm,True,339
质量办,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-04-07
         ",https://jwch.fzu.edu.cn/info/1040/13981.htm,False,
实践科,关于开展大学生校外实践教学基地检查评估工作的通知,"
2025-04-02
         ",https://jwch.fzu.edu.cn/info/1039/13977.htm,True,339
教学运行,关于2025年清明节放假课程调整的通知,"
2025-04-01
         ",https://jwch.fzu.edu.cn/info/1036/13976.htm,False,
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,"
2025-04-01
         ",https://jwch.fzu.edu.cn/info/1036/13974.htm,True,539
实践科,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,"
2025-03-31
         ",https://jwch.fzu.edu.cn/info/1039/13973.htm,False,
实践科,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,"
2025-03-24
         ",https://jwch.fzu.edu.cn/info/1039/13948.htm,False,
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,"
2025-03-24
         ",https://jwch.fzu.edu.cn/info/1036/13947.htm,True,368
质量办,关于举办第六十五场“教学有道”研讨活动的通知,"
2025-03-20
         ",https://jwch.fzu.edu.cn/info/1040/13945.htm,False,
实践科,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,"
2025-03-19
         ",https://jwch.fzu.edu.cn/info/1039/13935.htm,True,767
教学运行,关于做好2025-2026学年第一学期排课准备工作的通知,"
2025-03-11
         ",https://jwch.fzu.edu.cn/info/1036/13908.htm,False,
计划科,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,"
2025-03-11
         ",https://jwch.fzu.edu.cn/info/1038/13907.htm,False,
质量办,关于举办福州大学第六十四场“教学有道”研讨活动的通知,"
2025-03-11
         ",https://jwch.fzu.edu.cn/info/1040/13905.htm,False,
教学运行,关于做好2025年3月退役复学学生转专业的通知,"
2025-03-10
         ",https://jwch.fzu.edu.cn/info/1036/13904.htm,True,374
教学运行,关于2024-2025学年第二学期重新学习选课、缴费的通知,"
2025-03-10
         ",https://jwch.fzu.edu.cn/info/1036/13903.htm,False,
质量办,关于开展2025年春季学期申请类督导听课工作的通知,"
2025-03-07
         ",https://jwch.fzu.edu.cn/info/1040/13901.htm,True,276
实践科,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,"
2025-03-06
         ",https://jwch.fzu.edu.cn/info/1039/13900.htm,True,485
实践科,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,"
2025-03-06
         ",https://jwch.fzu.edu.cn/info/1039/13898.htm,False,
实践科,关于做好创新创业实践与素质拓展学分认定工作的通知,"
2025-03-04
         ",https://jwch.fzu.edu.cn/info/1039/13893.htm,True,3003
计划科,关于公布2024-2025学年第二学期通选课取消开课名单的通知,"
2025-03-03
         ",https://jwch.fzu.edu.cn/info/1038/13890.htm,False,
综合科,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,"
2025-02-24
         ",https://jwch.fzu.edu.cn/info/1035/13884.htm,False,
质量办,关于推荐遴选校级本科教学督导员的通知,"
2025-02-24
         ",https://jwch.fzu.edu.cn/info/1040/13883.htm,True,328
质量办,关于开学第一周集中听课的通知,"
2025-02-23
         ",https://jwch.fzu.edu.cn/info/1040/13882.htm,True,448
教学运行,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,"
2025-02-23
         ",https://jwch.fzu.edu.cn/info/1036/13881.htm,False,
计划科,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/info/1038/13880.htm,True,820
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/info/1038/13879.htm,True,1500
计划科,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/info/1038/13878.htm,True,795
计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/info/1038/13877.htm,True,2458
教材中心,关于2024-2025学年第二学期教材发放的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/info/1042/13876.htm,False,
综合科,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,"
2025-02-22
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875,False,
综合科,教务处关于2025年寒假用印安排的通知,"
2025-01-18
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871,False,
教研教改,福州大学关于收集线上课程资源需求的通知（2025年）,"
2025-01-15
         ",https://jwch.fzu.edu.cn/info/1037/13861.htm,False,
实践科,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,"
2025-01-13
         ",https://jwch.fzu.edu.cn/info/1039/13858.htm,True,3742
计划科,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,"
2025-01-10
         ",https://jwch.fzu.edu.cn/info/1038/13857.htm,False,
教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,"
2025-01-08
         ",https://jwch.fzu.edu.cn/info/1036/13853.htm,True,1139
教学运行,关于2024-2025学年第二学期辅修专业选课的通知,"
2025-01-07
         ",https://jwch.fzu.edu.cn/info/1036/13852.htm,False,
教学运行,关于2025届预计毕业生校对电子注册学历照片的通知,"
2025-01-07
         ",https://jwch.fzu.edu.cn/info/1036/13851.htm,False,
教学通知,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",https://jwch.fzu.edu.cn/info/1012/13848.htm,False,
综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847,False,
计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,"
2025-01-02
         ",https://jwch.fzu.edu.cn/info/1038/13841.htm,False,
